STATEMENT SUMMARY

Card Issuer,HDFC Bank
Card Last 4,5228
Statement Date,08/06/2019
Payment Due Date,
Total Balance,
Minimum Payment,

TRANSACTIONS
Date,Description,Amount
19 NEFT,CREDIT CARD PAYMENT PAYTM PAYM (Ref# 00000000000523010230457),"14,000.00"
19 FOOD,PARK NORTH (24) P |,360.00
19 ZAMAN,SERVICE STATION KOLKATTA |,202.00
19 MER,"EMI_, INT NBR:06,00000000000423 (Ref# 09999999980608001 391094)","1,284.40"
19 FINANCE,CHARGES (Ref# 1490151 1900608999704220),"1,193.33"
19 MER,"EMI INT NBR:22,00000000000295 (Ref# 09999999980608001 391052)",39.46
28/06/2019,|,"45,240.00"
08/05/2019,ij IGST-VPS1912945051817-RATE 18.0 -19 (Ref## 09999999980508001390767) it,241.91
08/05/2019,IGST-VPS1912945051816-RATE 18.0 -19 (Ref# 09999999980508001390742) |,183.96
08/05/2019,IGST-VPS1912945051814-RATE 18.0 -19 (Ref## 09999999980508001390700) |,113.65
08/05/2019,IGST-VPS1912945051818-RATE 18.0 -19 (Ref## 1490151 19005089996651 40) |,191.82
08/05/2019,IGST-VPS1912945051815-RATE 18.0 -19 (Refi# 09999999980508001390726) |,9.41
23/05/2019,| Flipkart Payments © BANGALORE {,"8,249.00"
23/05/2019,| Flipkart Payments © BANGALORE |,"6,569.00"
23/05/2019,Flipkart Payments © BANGALORE |,"8,249.00"
23/05/2019,NEFT CREDIT CARD PAYMENT PAYTM PAYM (Ref# 00000000000523010230457),"14,000.00"
24/05/2019,FOOD PARK NORTH (24) P |,360.00
24/05/2019,ZAMAN SERVICE STATION KOLKATTA |,202.00
24/05/2019,hy ZAMAN SERVICE STATION KOLKATTA |,1.50
24/05/2019,| REMEDY.HOSPITAL KOLKATTA |,"8,000.00"
27/05/2019,l) Flipkart Payments © BANGALORE {,"6,569.00"
27/05/2019,| | NEFT CREDIT CARD PAYMENT PAYTM PAYM (Ref# 00000000000527015591565) |,"8,000.00"
02/06/2019,i H BOOK MY. SHOW MUMBAI \|!,490.88
08/06/2019,"MER EMI_, INT NBR:06,00000000000423 (Ref# 09999999980608001 391094)","1,284.40"
08/06/2019,"INSTALOAN,PRIN NB:12,00000000000371 (Ref# 09999999980608001 391060)","1,558.60"
08/06/2019,FINANCE CHARGES (Ref# 1490151 1900608999704220),"1,193.33"
08/06/2019,"INSTALOAN, INT NBR:28,00000000000263 (Ref# 09999999980608001391037)",615.69
08/06/2019,"MER EMI INT NBR:22,00000000000295 (Ref# 09999999980608001 391052)",39.46
08/06/2019,"INSTALOAN, INT NBR:12,00000000000371 (Ref# 09999999980608001391078)","1,001.25"
08/06/2019,"M-FLIPKART INTERNET PR,P:22,0000295 (Ref# 09999999980608001391045)","1,039.32"
08/06/2019,"INSTALOAN,PRIN NB:28,00000000000263 (Ref# 09999999980608001 391029)","1,602.70"
08/06/2019,"M-AMAZON SELLER SERVIC,P:06,0000423 (Ref# 09999999980608001 391086)","4,824.77"
