STATEMENT SUMMARY

Card Issuer,Kotak Mahindra
Card Last 4,6705
Statement Date,03/01/2023
Payment Due Date,03/19/2023
Total Balance,"478,387.66"
Minimum Payment,

TRANSACTIONS
Date,Description,Amount
23 VAMSHI,FUEL POINT KVRangareddy IN Fuel,"5,209.94"
23 VAMSHI,FUEL POINT HYDERABAD _ IN Fuel,"4,241.39"
23 AMAZON,INDIA CYBS SI MUMBAI IN Services,179.00
23 INTEREST,CHARGES,"12,318.60"
23 GST,|,"5,105.80"
01/02/2023,BUZZWORTHY HTTPSBUZZWORT NY Services,"42,481.06"
05/02/2023,VAMSHI FUEL POINT KVRangareddy IN Fuel,"5,209.94"
09/02/2023,WWW.GODADDY.COM MUMBAI IN Computer,61.30
09/02/2023,WWW.GODADDY.COM MUMBAI IN Computer,"4,247.06"
18/02/2023,VAMSHI FUEL POINT HYDERABAD _ IN Fuel,"4,241.39"
24/02/2023,AMAZON INDIA CYBS SI MUMBAI IN Services,179.00
01/03/2023,INTEREST CHARGES,"12,318.60"
01/03/2023,GST |,"5,105.80"
