STATEMENT SUMMARY

Card Issuer,icici
Card Last 4,3769
Statement Date,04/23/2019
Payment Due Date,
Total Balance,
Minimum Payment,

TRANSACTIONS
Date,Description,Amount
36 eel,HARI CHANNAKESAVA BANGALORE |,8.00
2 BANGALORE,IN,2.00
"36

APOLLO",HOSPITALS ENTER,2.00
23/04/2019,Previous Balance Payments/Credits,"3,410.51"
22/03/2019,| 74056639083006249153636 eel HARI CHANNAKESAVA BANGALORE |,8.00
28/03/2019,| 74056639088006273342738 | AMRUTHA FOODS BANGALORE IN |,1.00
05/04/2019,| 74332749097909593436282 | AMAR SERVICE STAITON BANGALORE IN,9.00
05/04/2019,| 74056639096006314170916 | AMRUTHA FOODS BANGALORE IN,7.00
05/04/2019,| 74332749096909561502645 | AMAR SERVICE STAITON BANGALORE IN,9.00
08/04/2019,| 74766519098913791935070 | RELIANCE-SRI KRISHNA S GURIBIDNUR IN,9.00
10/04/2019,| 74056639101006339114660 | HOUSE OF SPIRIT 2 BANGALORE IN,2.00
12/04/2019,| 74332749103910295949863 | PR DEV! BAR AND RESTA GAURIBIDANUR,6.00
14/04/2019,| 74931979105000000206704 | PY PAYMENTS PYTLTD 10 GURGAON,1.00
15/04/2019,| 74056639106006366491101 | AMRUTHA FOODS BANGALORE IN,3.00
19/04/2019,| 74332749110910923059912 | FLIPKART PAYMENTS BANGALORE IN,20.00
14/04/2019,| 74931979105000000188225,100.00
SPIRIT 2,BANGALORE IN,2.00
LTD 10,GURGAON,2.00
PYTLTD 10,GURGAON,1.00
